,nes,nes_err,ban,ban_err,veg,veg_err,grd,grd_err,frt,frt_err,mlt,mlt_err,brl,brl_err,rt3,rt3_err,rt2,rt2_err,olp,olp_err,tob,tob_err,rt1,rt1_err,cc2,cc2_err,olv,olv_err,srg,srg_err,rsd,rsd_err,oce,oce_err,cot,cot_err,sfl,sfl_err,whe,whe_err,pls,pls_err,mze,mze_err,sub,sub_err,suc,suc_err,fdd,fdd_err,soy,soy_err,rcw,rcw_err,bvmeat,bvmeat_err,bvmilk,bvmilk_err,sgmeat,sgmeat_err,chickens,chickens_err,ducks,ducks_err,pigs,pigs_err,crop,crop_err,past,past_err,gh_all,gh_all_err
ZWE,2.6254810267385105e-05,3.213284963837664e-11,2.8140085736120475e-05,2.5424014391253174e-11,3.755489089638942e-05,5.456284431345226e-11,6.442632311962923e-05,3.19521222253275e-11,2.330747480361413e-05,6.34031699581717e-11,3.2932180179816626e-05,2.2488031638746415e-11,2.4927053158447137e-05,1.0847413974338808e-10,1.9744196910971387e-05,6.800611382582511e-13,3.800211813861091e-05,1.615725550977393e-11,1.1098308444563887e-05,4.751853707733788e-14,3.97581669920025e-05,5.179382392759863e-11,2.8184555416508456e-05,1.2247921871665054e-10,3.274697186370247e-05,8.41315770925298e-11,1.3838716098351423e-06,5.036686048873661e-13,5.1106718261619366e-05,4.119627541324387e-11,2.5787284362165857e-06,3.6139510721349255e-13,2.4339305779139074e-06,3.1320695044052527e-13,5.123417555604156e-05,4.379807024927896e-11,0.00011243389444759776,1.6389612195812347e-11,1.813639538791391e-05,1.3419295289497062e-10,4.03307137149584e-05,3.817282606320346e-11,7.82568740703126e-05,3.080282925647376e-11,2.538325757437292e-06,1.2237989127582775e-12,4.600973792698907e-05,7.267036559676845e-11,4.65159278471131e-06,1.0756611471385835e-12,4.0148332448562734e-05,5.144110595699137e-11,1.7706934407817573e-05,7.936709974293581e-13,0.001455669473840756,6.016838958855662e-06,0.001455669473840756,6.016838958855662e-06,0.0004063581923016468,1.70507300027044e-05,0.0012975601601780038,6.712336379246665e-05,0.0006838516141472184,9.197310751401827e-05,0.00030601873535082567,3.295176187847051e-05,9.422650393542536e-06,1.0714220721576898e-13,9.712913784100712e-06,1.0446743418140383e-13,2.0786456207377326e-05,5.762379052477268e-06
ZMB,1.5254660554513328e-05,2.9116761267111984e-11,1.8095111748873503e-05,1.0440508162591879e-11,1.644394754928847e-05,3.144262158345203e-11,1.55337592981548e-05,3.3250079680081697e-11,2.3466578741943965e-05,4.696147526342876e-11,1.0135797135607729e-05,4.088001237894766e-11,2.432759364382666e-05,1.4236877961456188e-11,,,1.4488137517422072e-05,2.9066113304527232e-11,,,9.542238143951708e-06,4.187805299824035e-11,1.598779946727512e-05,2.8859077717249047e-11,2.5835085518502357e-05,1.3602426763021403e-11,,,9.008285768414409e-06,4.5816356522335806e-11,,,,,2.181371425712303e-05,4.7477133415675234e-11,2.8119842287121868e-05,4.571986875692238e-11,2.1606661643400183e-05,1.4198013653702146e-10,1.6495703389476195e-05,2.6715615472027887e-11,1.4226357649101528e-05,3.3975404027012176e-11,,,2.622134491513429e-05,9.51805545578055e-11,,,1.7718839840419724e-05,4.386727502640159e-11,2.3377681371040688e-05,8.403019086580069e-11,6.464557738437355e-06,9.803851640152174e-13,6.464557738437355e-06,9.803851640152174e-13,6.482740413011164e-06,1.0373375310965466e-12,6.348427276590982e-06,9.083729368269299e-13,1.1064043446535375e-05,2.556694413043367e-15,5.670108236683328e-06,9.254094945495612e-13,1.8887285704702512e-06,1.1436339818896375e-16,1.741719188994699e-06,8.061323643463139e-17,3.266235995243782e-06,7.553122590904455e-13
YEM,3.2827433235682154e-05,7.065261437693896e-09,5.77785969851178e-05,6.0034116683831186e-09,3.9003057644211994e-05,5.153493072325511e-09,,,3.256971072173826e-05,7.0115448835328365e-09,4.254064906676831e-05,6.153549308452414e-09,5.775255549592977e-05,2.260650975775193e-09,,,,,,,3.060119679436317e-05,8.608826540210392e-09,3.174553285776108e-05,5.923466623788394e-09,5.480269849236235e-05,5.475818446089173e-09,,,4.137681522793675e-05,5.756458472557547e-09,,,,,3.8363715902112716e-05,6.034057428694873e-09,,,5.3399523216640954e-05,2.1544876941193585e-09,3.3769706679912675e-05,5.694757242723418e-09,4.2530131548436025e-05,5.7509579570041646e-09,,,,,4.2094883203830526e-05,5.344532110978307e-09,,,,,9.845518491426896e-06,2.00944705147621e-14,9.845518491426896e-06,2.00944705147621e-14,3.0671454603955335e-06,1.2742396247099796e-14,6.99577160018594e-06,1.3790404422116585e-14,,,,,2.08875950066928e-06,5.421549311849075e-16,8.66502180328399e-07,2.542010293961997e-16,1.3443757758304151e-06,1.5383053181011174e-14
VNM,9.152156622645955e-05,2.5753892171726983e-10,7.86249549593354e-05,2.472400841323553e-10,8.428987974084454e-05,2.3613837789034517e-10,7.486739060397703e-05,3.1239488895697815e-10,8.868857099076273e-05,2.3960934322412904e-10,,,,,,,9.681590633244169e-05,2.2916375770980358e-10,,,8.309259388989035e-05,2.525000744476215e-10,0.00010234195703820906,2.2217156686995594e-10,8.095476905238186e-05,2.582944520897688e-10,,,,,,,,,,,,,,,9.768499304250029e-05,2.6508803759435174e-10,0.00010102104583018736,2.6353234826852537e-10,,,8.139958324842227e-05,2.9451288207486196e-10,,,0.00012867565509554278,4.6584457365110934e-11,7.066418133967595e-05,2.5379200831165703e-10,7.008246628006786e-05,2.6014364532302695e-10,7.008246628006786e-05,2.6014364532302695e-10,,,5.162099296480247e-05,3.3302080379407114e-10,4.410601364273834e-05,3.466734562506842e-10,5.915488401076432e-05,2.857798483968378e-10,2.8583504741246375e-05,6.497389574305093e-14,3.2191810722519666e-05,7.143140895536697e-14,7.479229509792786e-05,1.7026682224550427e-10
VEN,0.00033382318200546335,1.0862752775909235e-08,0.00022596875446068485,2.8722632951450975e-09,0.0006003920045023484,1.4003742036323851e-08,,,0.0003954141240727383,1.1515216673291856e-08,,,,,0.00014052872338448643,1.3440823684829441e-09,0.00012641436231156615,1.3436023672524354e-09,0.00011262474166257369,4.326445178038185e-10,0.00026603145737764586,1.7822883030566786e-09,0.000743818842568681,1.1073923814321209e-08,0.00026091746818455855,1.6924398817710895e-09,,,0.00011034885250180977,1.4389696899306855e-09,,,,,0.00014346261487738654,1.5820903669919052e-09,0.001019343540394932,2.5946138196583885e-09,,,0.00026326898008626517,1.6477256777172018e-09,0.0002819133375674446,1.7741046861268564e-09,,,0.0001710562878579344,1.4936962326285675e-09,,,0.00015606933540151407,1.7987148707959887e-09,0.0001066713734517345,2.7622770985734724e-09,0.000214875095622802,5.726148767696227e-07,0.000214875095622802,5.726148767696227e-07,8.570219535749455e-05,8.766091925781569e-07,5.614372845165109e-05,1.8415146073245733e-06,0.0005701291381790168,4.619303440857571e-07,0.00019320729897737666,1.0117606646514395e-06,2.6291576808821307e-05,3.195210106909909e-13,9.066986473720297e-06,2.3516551546859873e-13,3.905553098734647e-05,3.690847465925748e-07
VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VUT,9.050644437592804e-06,5.6275247240632116e-14,7.226080541150218e-06,7.715670534100574e-14,5.994030071466115e-06,7.740725413415187e-14,9.11333877570462e-06,6.372724545429757e-14,2.618726305760903e-06,3.440742882057518e-13,,,,,7.241118595267129e-06,6.986933029705044e-14,,,,,,,,,9.913488091185358e-06,6.095551191314432e-14,,,,,,,,,,,,,,,,,1.1515765073359016e-05,6.382660561775583e-14,,,,,,,,,,,6.4927806611805366e-06,5.0434167777746526e-15,6.4927806611805366e-06,5.0434167777746526e-15,1.2432612469001246e-06,7.355202443233702e-15,5.234295261530291e-06,5.129643610799674e-15,,,5.136048852365568e-06,4.963125403523869e-15,7.396701640239857e-07,1.8259368417046698e-17,5.257594085697605e-07,2.265129686557674e-17,7.2071821152985484e-06,7.34331551839844e-14
UZB,3.993974801662022e-05,6.857895002488125e-10,,,2.3543680996640783e-05,3.927981008492799e-10,,,2.3611188754925178e-05,7.968851253589866e-13,,,2.1252828591760877e-05,1.847349370172289e-13,,,,,,,1.978567946126295e-05,1.7655130325536032e-13,2.282250250086545e-05,1.2173694097969528e-13,,,,,,,,,,,2.1255549554498895e-05,1.8466796894642508e-13,6.493198285270102e-06,3.65604846087701e-17,2.1264320018430705e-05,1.8477149770401202e-13,1.2238245181715675e-05,1.5289989748927294e-09,2.125428592734623e-05,1.8473869180123811e-13,0.0002097005638713319,5.567591686468599e-14,,,4.8851695053110326e-05,3.2710629222929537e-10,,,2.1259056559500787e-05,1.8677615731141305e-13,1.2461533385642969e-05,2.6224662683886242e-14,1.2461533385642969e-05,2.6224662683886242e-14,9.740848122269326e-06,2.2798573578017734e-14,1.3540996368839098e-05,3.3598271161506515e-14,4.50232115771012e-06,1.3879298443187222e-17,6.841425042621999e-06,3.8500524139461824e-14,1.1410642514659167e-05,1.604757132444043e-15,1.715958459738214e-06,7.646013899708847e-16,4.218261863909567e-06,1.6585883083733428e-14
URY,0.00013815000571159764,1.3580295664496574e-10,,,9.915944772897506e-05,1.1727557658707917e-10,5.358343834077422e-05,3.7757129233841465e-15,0.00010661415781500285,1.122691067374883e-10,,,0.00014249078804398402,1.1721093690017416e-10,,,,,,,0.00010187630958529696,1.000403348598199e-10,0.00014193141369451767,1.3194568080521256e-10,,,0.0001027089805005328,9.964762051692157e-11,0.00012556289069411348,5.2238672615667235e-11,1.041835377709592e-05,3.955157347667367e-15,0.00013173383565043647,1.296204757277058e-10,,,0.00012921238786088614,1.0499865629822856e-10,0.00012546931683010115,9.642040629665975e-11,0.00014011994799487335,1.2892314949102098e-10,0.00012332031843659828,1.1042899570929949e-10,,,2.9978256575910752e-05,7.468489637565089e-12,5.314934221095999e-05,3.7809567701283244e-15,0.00017816106263713585,8.169400589405444e-11,7.958893417221597e-05,6.886291634778778e-11,2.2358381459788417e-05,1.527155049329658e-13,2.2358381459788417e-05,1.527155049329658e-13,1.6088404887065755e-05,1.740152031286831e-13,3.0533503400500186e-05,9.316506744403166e-13,2.9948377665309323e-05,1.6602834537816761e-13,4.076776033779512e-05,3.7469429972091035e-13,2.027323425037893e-05,8.933970808115303e-15,1.1856097808619619e-05,7.65735482275084e-15,1.97863322881483e-05,2.917280406407643e-13
FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
